"","Publication Year","Author","Title","AGRONOMY JOURNAL","DOI","Url","Abstract Note","Date","Journal Abbreviation","location_LA_CA","field_study","primary_data","study_type","focus_agriculture","target_crop_livestock","tested_practices","Status","is_LAC_CAC","Status_AI"
"27",2016,"Patil, Mukund D.; Wani, Suhas P.; Garg, Kaushal K.","Conservation agriculture for improving water productivity in Vertisols of semi-arid tropics","TEHNICKI VJESNIK-TECHNICAL GAZETTE","10.18520/cs/v110/i9/1730-1739",NA,"Large variability and uncertainty of rainfall are the main limiting factors for crop growth in rainfed agriculture. Agriculture water management interventions are considered as suitable adoption strategy to enhance crop yield, productivity and income in rainfed condition. Three-year experimental data collected at the International Crops Research Institute for the Semi-Arid Tropics, Patancheru, India are analysed to study the impact of in-situ interventions (tillage and crop residue) on field water balance and grain yield under the two different cropping systems (maize + chickpea sequential and maize/pigeon pea intercropping). One dimensional water balance model is calibrated to capture field hydrology (soil water, surface runoff). Weather data calibrated for 36 years showed that incorporating crop residues reduced surface runoff by 28% compared to control fields. However, the impact of tillage and residue treatment on soil water was not consistent throughout the growing period. Water productivity values for intercropping systems (WUE = 0.61 to 1.49 kg m(-3)) were relatively higher compared to sequential cropping systems (WUE = 0.47 to 1.06 kg m(-3)). Second crop in sequential cropping system often suffered from water stress that led to poor crop yield. However, a few rain events at the end of the monsoon period were beneficial to second crop. Simulation results indicated that the conservation agriculture could save up to 30% yield loss incurred due to water stress during deficit rainfall compared to conventional agricultural practices.","2016","CURRENT SCIENCE","India","Yes","Yes","Yes","Yes","No","tillage, crop residue management","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
"28",2018,"Amamou, Hajer; Ben Sassi, Mohsen; Aouadi, Hatem; Khemiri, Hichem; Mahouachi, Mokhtar; Beckers, Yves; Hammami, Hedi","Climate change-related risks and adaptation strategies as perceived in dairy cattle farming systems in Tunisia","CLIMATE RISK MANAGEMENT","10.1016/j.crm.2018.03.004",NA,"The perception of risks due to climate change by farmers and the measures they take to address those risks are of paramount importance in policy-making if the implementations of targeted adaptation and mitigation strategies are to be economically and environmentally sustainable. This study focused on Tunisian dairy farmers' perceptions of the risks and the actions taken to cope with changes attributable to climate change. Using a bottom-up approach, 566 surveys were carried out randomly among dairy farmers throughout Tunisia. A total of 70 diagnostic variables relating to farm characteristics, resources, management, performances and profit, in addition to climate change risk perception and adaptation strategies, were identified and analyzed. Using multivariate statistical analysis, four dairy farming groups were identified. The largest proportions of farmers belonged to the two above-ground dairy systems: without utilized agricultural areas; and with non-dairy utilized agricultural areas (Clusters 1 and 2). A minority of farmers belonged to medium-sized and large farms that specialized in milk production (Clusters 3 and 4) and has access to sufficient land, water and capital resources. In all the clusters, almost all the farmers perceived that the greatest impact of climate change would be on cow performance and forage production. The attitudes of the farmers towards adaptation to climate change are associated with farm typology. They focused mainly on increasing water capacity for livestock and crop production and improving livestock and housing conditions. The knowledge obtained from this study could be helpful for decision-makers and stakeholders in efforts to develop policies for farm management practices that address climate change and can be adapted to the country's diverse farming systems.","2018","CLIMATE RISK MANAGEMENT","Tunisia","NA","Yes","Yes","Yes","No","water capacity improvement, improved housing conditions","Rejected-Full Text Screening","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
"29",2016,"de Carvalho, Gomes Lucas; Maria, Cardoso Irene; de Sa, Mendonca Eduardo; Braganca Alves, Fernandes Raphael; Schiavon, Lopes Vanessa; Sena, Oliveira Teogenes","Trees modify the dynamics of soil CO2 efflux in coffee agroforestry systems","AGRICULTURAL AND FOREST METEOROLOGY","10.1016/j.agrformet.2016.05.001",NA,"Agroforestry systems may help significantly reduce atmospheric carbon levels in forthcoming years through photosynthesis and regulation of soil CO2 efflux. This study aimed to characterise the soil CO2 efflux dynamics of coffee plants cultivated under agroforestry and full-sun production systems and identify the factors that regulate this process. The study was carried out in agroforestry and full-sun coffee systems on three family farms in Minas Gerais, the Atlantic Forest Biome, Brazil during three consective days on each farm. Twenty 1-m(2) sampling areas (10 for each system), each separated by a distance of 5 x 5 m and located between coffee plant rows, were selected on each farm. Soil physical and chemical attributes, air temperature and humidity, soil temperature and moisture, the percentage of canopy cover, and soil CO2 efflux were measured at each sampling area in the two systems. The air and soil temperature in the agroforestry systems were lower and soil moisture was higher than in the full-sun systems. Soil CO2 efflux showed different dynamics in the two systems. Daytime soil CO2 efflux was more stable (i.e. from morning to midday) in the agroforestry system (average 15% increase) compared to the full-sun system (average 49.1% increase). Soil CO2 efflux was regulated by labile carbon and total nitrogen variation in the agroforestry systems, and by soil temperature variation at a depth of 10 cm in the full-sun systems. A principal components analysis with data from all grouped systems showed that soil CO2 efflux was generally positively correlated with soil temperature at 5 and 10 cm depths, and negatively correlated with soil moisture. In conclusion, agroforestry systems promote microclimate stability and decrease soil CO2 efflux variability compared to full-sun systems. (C) 2016 Elsevier B.V. All rights reserved.","2016","AGRICULTURAL AND FOREST METEOROLOGY","Brazil","Yes","Yes","Yes","Yes","Yes","agroforestry","Extracted","Yes","Included"
"30",2016,"Castro, G. S. A.; Crusciol, C. A. C.; da Costa, C. H. M.; Ferrari Neto, J.; Mancuso, M. A. C.","Surface application of limestone and calcium-magnesium silicate in a tropical no-tillage system","JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION",NA,NA,"Although lime is currently the most commonly applied material for soil acidity correction in Brazil, calciummagnesium silicate application may efficiently replace this source due to its higher solubility and silicon supply, which is beneficial for plant development. This study aimed to evaluate the efficiency of surface liming and silicate application on soil chemical attributes as well as soybean and maize nutrition, yield components, and grain yield. The experiment was conducted in a Rhodic Hapludox in Botucatu-SP, Brazil. The randomized complete block design contained 16 replications. Treatments consisted of two materials for soil acidity correction (dolomitic lime, calcium/magnesium silicate), applied on October 2006 to raise base saturation up to 70%, and a control, with no acidity correction. Soybean and maize were sown in 2006/2007 and 2007/2008, respectively. After 18 months Ca-Mg silicate corrected soil acidity up to 0.60 m, and increased exchangeable base levels up to 0.40 m. Silicate increased silicon concentrations in plant tissues in both crops as well as phosphorus in soybean. The application of both sources increased calcium and magnesium concentrations as well as yield components and yield grains of soybean and maize. Soil acidity correction improved the efficiency of fertilizers applied for grain production.","2016","JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION","Brazil","Yes","Yes","Yes","Yes","Yes","silicate application, surface liming","Extracted","Yes","Included"
"31",2023,"Rezapour Kavishahi, Tahereh; Sayfzadeh, Saeed; Mostafavi Rad, Marefat; Valadabady, Ali Reza; Hadidi Masouleh, Esmaeil","Quantitative and Qualitative Yield of Groundnut (Arachis Hypogaea L.) in Response to Intercropping Pattern and Integrated Application of Chemical and Biological Phosphorus Fertilizers","WATER","10.1080/00103624.2023.2211109",NA,"Intercropping between cereals and legumes can increase resource use efficiency, agricultural productivity, and yield sustainability and reduce chemical inputs. For these reasons, this experiment was performed as factorial arrangement based on randomized complete block design with three replications in experimental station of Guilan Agricultural and Natural Resources Research and Education Center, Rasht, Iran in 2016 and 2017 cropping seasons. Experimental treatments included five levels of phosphorus fertilizer (PF) as triple super phosphate (TSP) including : 1- Zero (as control), 2-50 kg ha-1 TSP, 3-100 kg ha-1 TSP, 4-50 kg ha-1 TSP+200 g ha-1 Barvar2 phosphate bio-fertilizer (BPB) and 5-100 kg ha-1 TSP+200 g ha-1 BPB, and five IPs (IP) including: 1- maize (Zea mays L.) sole cropping, 2- groundnut sole cropping, 3- intercropped groundnut-maize with the ratio of 1:1, 2:1 and 1:2 rows, . Although, maximum grain yield of maize and groundnut was obtained in response to the application of 100 kg ha-1 TSP plus 200 g ha-1 BPB under sole cropping, the highest land equivalent ratio (LER) was observed under zero usage of TSP and intercropped maize-groundnut with the ratio of 1:1 rows. Crops in intercropping system have a complementary effect together. In this experiment, LER values greater than 1.00 indicated an intercrop advantage to sole crop. Results showed that IP increases the quantity and quality of products by increment in plant diversity, ecological balance, more utilization of resources, and reduction of damage by pests, diseases, and weeds in agricultural ecosystems.","2023","COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS","Iran","Yes","Yes","No","Yes","Yes","intercropping","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC, study_type"
"32",2022,"Parmar, Brajendra; Vishwakarma, Anand; Padbhushan, Rajeev; Kumar, Amarendra; Kumar, Rajkishore; Kumari, Ragini; Kumar Yadav, Brahmdeo; Giri, S. P.; Kaviraj, Megha; Kumar, Upendra","Hedge and Alder-Based Agroforestry Systems: Potential Interventions to Carbon Sequestration and Better Crop Productivity in Indian Sub-Himalayas","PLOS ONE","10.3389/fenvs.2022.858948",NA,"Agroforestry systems (AFSs) have potential to combat climate change and to ensure food security. AFSs can sequester carbon and amend the organic matter, thereby enhancing the crop productivity. Carbon sequestration depends on the type of AFSs, climate, cropping pattern, and management practices. The aim of this study was to evaluate different AFSs for their potential to sequester carbon and impact on soil organic matter (SOM) in the eastern sub-Himalayas, India. Hedge-, alder-, and guava-based AFSs were established along with control (without any tree), and the maize-mustard-potato cropping pattern was followed in each AFS. Soil samples were collected after the fifth crop cycle and further analyzed. The results showed that crop productivity was significantly higher in all the AFSs than control. On average, soil organic carbon (SOC) was found to be significantly higher by 62 and 64% in hedge-based AFSs as compared to guava-based AFSs and control, respectively, and at par with alder-based AFSs. Particulate organic carbon (POC) was higher in all the three AFSs than in the control. For microbial biomass carbon (MBC) and microbial biomass nitrogen (MBN) contents, the trend of AFSs was expressed as alder-based AFS > hedge-based AFS > guava-based AFS > control. Hedge- and alder-based AFSs had higher SOC stocks than guava-based AFSs and control. Carbon dioxide equivalent (CO2 eq.) emissions were greater in control than hedge-based AFSs (35.2 Mg ha(-1)), followed by alder-based AFSs (28.6 Mg ha(-1)), and the lowest was observed in guava-based AFSs. On an average, hedge species accumulated more nitrogen (N), phosphorus (P), and potassium (K), which were 60, 12, and 28 kg ha(-1) yr(-1), respectively. This conclusively proved that AFSs were significantly affecting SOM pools and crop productivity and had a significant role in carbon retention in the soil. Overall, hedge- and alder-based AFSs retained higher soil carbon, and hence, hedge- and alder-based AFSs may be promoted to achieve climate-smart agriculture practices in the acid soils of the Indian sub-Himalayan region.","2022","FRONTIERS IN ENVIRONMENTAL SCIENCE","India","Yes","Yes","Yes","Yes","Yes","agroforestry","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"33",2022,"Yang, Yunshan; Liu, Guangzhou; Guo, Xiaoxia; Liu, Wanmao; Xue, Jun; Ming, Bo; Xie, Ruizhi; Wang, Keru; Hou, Peng; Li, Shaokun","Quantitative Relationship Between Solar Radiation and Grain Filling Parameters of Maize",NA,"10.3389/fpls.2022.906060",NA,"A quantitative understanding of the factors driving changes in grain filling is essential for effective prioritization of increasing maize yield. Grain filling is a significant stage in maize yield formation. Solar radiation is the energy source for grain filling, which is the ultimate driving factor for final grain weight and grain filling capacity that determine maize yield. Here, we first confirmed the quantitative relationships between grain filling parameters and photosynthetically active radiation (PAR) by conducting field experiments using different shading and plant density conditions and cultivars in 2019 and 2020 in Xinjiang, China. The results showed that with every 100 MJ m(-2) increase in PAR, the average grain filling rate (G(ave)), maximum grain-filling rate (G(max)), and the kernel weight at the time of maximum grain-filling rate (W-max) increased by 0.073 mg kernel(-1) day(-1), 0.23 mg kernel(-1) day(-1), and 0.24 mg kernel(-1), and the time of maximum grain-filling rate (T-max) delayed by 0.91 day. Relative changes in PAR were significantly and positively correlated with relative changes in yield and G(ave). With every 1% change in PAR, yield and G(ave) changed by 1.16 and 0.17%, respectively. From the perspective of grain filling capacity, DH618 was a more shade-resistant cultivar than XY335 and ZD958. It is urgent to breed maize cultivars with low light tolerance and high grain yield in the face of climate change, particularly the decrease in solar radiation.","2022","FRONTIERS IN PLANT SCIENCE","China","Yes","Yes","Yes","Yes","Yes","improved varieties","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"34",2011,"Panigrahi, Pravukalyan; Sahu, Narendra Nath; Pradhan, Sanatan","Evaluating partial root-zone irrigation and mulching in okra (Abelmoschus esculentus L.) under a sub-humid tropical climate","CHILEAN JOURNAL OF AGRICULTURAL RESEARCH",NA,NA,"The field experiments were conducted to compare the alternate partial root-zone irrigation (APRI) with and without black plastic mulch (BPM) with full root-zone irrigation (FRI) in furrow-irrigated okra (Abelmoschus esculentus L. Moench) at Bhubaneswar, India. APRI means that one of the two neighboring furrows was alternately irrigated during consecutive watering. FRI was the conventional method where every furrow was irrigated during each watering. The used irrigation levels were 25 % available soil moisture depletion (ASMD), 50% ASMD, and 75 % ASMD. The plant growth and yield parameters were observed to be significantly (p < 0.05) higher with frequent irrigation (at 25 % ASMD) under all irrigation strategies. However, APRI + BPM produced the maximum plant growth and yield using 22% and 56% less water over APRI without BPM and FRI, respectively. The highest pod yield (10025 kg ha(-1)) was produced under APRI at 25 ASMD + BPM, which was statistically at par with the pod yield under APRI at 50% ASMD + BPM. Irrigation water use efficiency (IWUE), which indicates the pod yield per unit quantity of irrigation water, was estimated to be highest (12.3 kg m(-3)) under APRI at 50% ASMD + BPM, followed by APRI at 25% ASMD + BPM. Moreover, the treatment APRI at 50 % ASMD + BPM was found economically superior to other treatments, generating more net return (US $ 952 ha(-1)) with higher benefit cost ratio (1.70).","2011","JOURNAL OF AGRICULTURE AND RURAL DEVELOPMENT IN THE TROPICS AND SUBTROPICS","The paper focuses on an experiment conducted in Bhubaneswar, India.","Yes","Yes","Yes","Yes","No","plastic mulch, irrigation","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
"35",2019,"Silvestri, Silvia; Macharia, Martin; Uzayisenga, Bellancile","Analysing the potential of plant clinics to boost crop protection in Rwanda through adoption of IPM: the case of maize and maize stem borers","FOOD SECURITY","10.1007/s12571-019-00910-5",NA,"Maize plays an important role in the livelihoods of rural communities in Rwanda. However, maize yields are threatened by the presence of pests and diseases and a general lack of knowledge and information for their management. In this study we sought to assess if plant clinics are making farmers more aware and knowledgeable of pests and diseases and are indirectly contributing to higher yields. We interviewed 644 farmers across Rwanda, both users and non-users of plant clinics. Propensity score matching was used to match the users and non-users of plant clinics and logistic regression was used to assess a number of factors, including interactions with plant clinics, that affect farmers' adoption of pest management practices. Our analysis shows that users of plant clinics are more aware and knowledgeable in recognizing and handling maize stem borers. Furthermore, users of plant clinics have on average higher yields than non-users and this difference is highly significant (P<0.001). The analysis therefore demonstrates that plant clinics are beneficial to farmers in Rwanda. However, efforts are required to diversify the spectrum of practices that are promoted by plant clinics and by extension and advisory services in Rwanda.","2019","FOOD SECURITY","Rwanda","Yes","Yes","Yes","Yes","Yes","biological pest control, agroforestry","Rejected-Full Text Screening","No","Excluded - Issues: is_LAC_CAC"
"36",2022,"Roy, Dibakar; Datta, Ashim; Jat, H. S.; Choudhary, Madhu; Sharma, P. C.; Singh, P. K.; Jat, M. L.","Impact of long term conservation agriculture on soil quality under cereal based systems of North West India","JOURNAL OF INTEGRATIVE AGRICULTURE","10.1016/j.geoderma.2021.115391",NA,"Soil quality is of utmost essential for yield sustainability of intensive cereal based cropping system in North West Indo Gangetic plains of India. Hence, we evaluated long-term (10 years) effect of conservation agriculture (CA) practices on soil quality improvement under six different cropping scenarios (Sc), i.e. Sc1-represented by transplanted puddled rice (TPR) followed by conventional tilled broadcasted wheat (CT-wheat) with residue removal, Sc2-TPR rice followed by zero tillage (ZT) wheat and ZT-mung bean with partial residue retention, Sc3-direct seeded rice (DSR) followed by ZT-wheat and ZT-mung bean with full residue retention, Sc4-DSR is replaced by ZT-maize followed by ZT-wheat and ZT-mung bean, Sc5 and Sc6 were - Sc3 integrated with sub surface drip irrigation (SDI) and Sc4 + SDI, respectively. Soil samples were collected from 0 to 5, 5-15 and 15-30 cm soil depth from each scenario after harvesting of wheat in 2019. Results showed that, reduction in bulk density (BD), soil penetration resistance (SPR) and enhancement of water holding capacity and infiltration were associated with CA based scenarios (Sc3-Sc6). Scenario 3 recorded lowest BD of 1.39 and 1.58 g cm(-3) at 0-5 and 5-15 cm soil depth, respectively. CA based Sc6 recorded highest infiltration rate (1.48 cm hr(-1)) and lowest was associated with Sc1 (0.5 cm hr(-1)). The enrichment of soil organic carbon (SOC) content, stock, available nitrogen and potassium was mainly confined to upper surface soil layer (0-5 cm). The SOC content and stock in CA based scenarios (average of Sc3 to Sc6) was 41-57 and 69-94% higher than Sc1 at 0-5 cm soil layer. Available nitrogen was increased by 23-50 and 64-98% and available potassium increased by 13-28 and 42-71% in 0-5 and 5-15 cm soil depth, respectively in CA based scenarios over Sc1. Similarly, microbial biomass carbon (MBC) and dehydrogenase (DHA) activity in top soil layer under CA based scenarios was increased by 177-195 and 67-107% over Sc1, respectively. The maximum SQI was registered with Sc6 (0.91) followed by Sc4 (0.89) and least was recorded in Sc1 (0.65) at 0-5 cm soil depth. Maize-wheat based cropping system recorded higher SQI over rice-wheat based cropping system. Sustainable yield index was strongly related with key soil quality indicators and also positively correlated with SQI. Thus our study suggests that CA based maize-wheat-mung bean cropping system should be recommended for better soil quality and yield sustainability in North West India.","2022","GEODERMA","India","Yes","Yes","Yes","Yes","No","conservation agriculture, residue retention, minimum soil disturbance, zero tillage, direct seeded rice","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
"37",2022,"Fernandes, Mariele Monique Honorato; Coelho, Anderson Prates; Silva, Matheus Flavio da; Fernandes, Carolina","Do fallow in the off-season and crop succession promote differences in soil aggregation in no-tillage systems?","GEODERMA","10.1016/j.geoderma.2022.115725",NA,"The no-tillage (NT) system is an agricultural practice that stands out the most within conservation agriculture. Conservation agriculture is based on three principles: soil tillage that is limited to the sowing row, crop rotation, and soil surface cover throughout the year (>30%). Despite these principles, the maintenance of soil cover throughout the year and crop rotation are commonly neglected, which can promote changes in soil aggregation. The aim of this study was to evaluate the effects of fallow in the off-season, and two crop successions (grass/grass and grass/legume), on soil aggregation in NT systems. The study was conducted in five fields with different land uses for more than 10 years in southeastern Brazil. Three land uses under NT, all sown with maize within the season, were used, yielding three groups: NT with fallow in the off-season (NT-f), NT with legumes (brown hemp) in the off-season (NT-l), and NT with maize in the off-season (NT-g). For comparison, we considered forest land (F) as a conservation reference for soil aggregation and land being used under conventional tillage (CT) as a low conservation system. The soil variable that contributed the most to the separation of land use was the mineral associated organic carbon content. The absence of soil surface cover throughout the year in an NT system is as harmful to soil aggregation as a CT system. Moreover, succession promotes differences in soil aggregation, with grass-grass succession (NT-g) leading to higher particulate organic carbon content and aggregate stability index in some soil layers compared to the NT-l. Here, we demonstrate that conservation agriculture practices, such as NT, require a system-centered approach to improve soil conditions. We also found that fallow in the off-season promotes an NT system with low soil conservation.","2022","GEODERMA","Brazil","Yes","Yes","Yes","Yes","No","crop rotation, reduced tillage, soil surface cover","Rejected-Full Text Screening","Yes","Excluded - Issues: target_crop_livestock"
"38",2007,"Soler, C. M. T.; Hoogenboom, G.; Sentelhas, P. C.; Duarte, A. P.","Impact of water stress on maize grown off-season in a subtropical environment","JOURNAL OF AGRONOMY AND CROP SCIENCE","10.1111/j.1439-037X.2007.00265.x",NA,"During the last decade, the production of off-season maize has increased in several regions of Brazil. Growing maize during this season, with sowing from January through April, imposes several climatic risks that can impact crop yield. This is mainly caused by the high variability of precipitation and the probability of frost during the reproduction phases. High production risks are also partially due to the use of cultivars that are not adapted to the local environmental conditions. The goal of this study was to evaluate crop growth and development and associated yield, yield components and water use efficiency (WUE) for maize hybrids with different maturity ratings grown off-season in a subtropical environment under both rainfed and irrigated conditions. Three experiments were conducted in 2001 and 2002 in Piracicaba, state of Sao Paulo, Brazil with four hybrids of different maturity duration, AG9010 (very short season), DAS CO32 and Exceler (short season) and DKB 333B (normal season). Leaf area index (LAI), plant height and dry matter were measured approximately every 18 days. Under rainfed conditions, the soil water content in the deeper layers was reduced, suggesting that the extension of the roots into these layers was a response to soil water limitations. On average, WUE varied from 1.45 kg m(-3) under rainfed conditions to 1.69 kg m(-3) under irrigated conditions during 2001. The average yield varied from 4209 kg hat for the hybrids grown under rainfed conditions to 5594 kg ha(-1) under irrigated conditions during 2001. Yield reductions under rainfed conditions were affected by the genotype. For the hybrid DKB 333B with a normal maturity, yield was reduced by 25.6% while the short maturity hybrid Exceler was the least impacted by soil water limitations with a yield reduction of only 8.4%. To decrease the risk of yield loss, the application of supplemental irrigation should be considered by local farmers, provided that this practice is not restricted by either economic considerations or the availability of sufficient water resources.","2007","JOURNAL OF AGRONOMY AND CROP SCIENCE","NA","Yes","Yes","Yes","Yes","Yes","reduced tillage, supplemental irrigation","Extracted","No","Excluded - Issues: is_LAC_CAC"
"39",2006,"Medvecky, Beth A.; Ketterings, Quirine M.; Vermeylen, Francoise M.","Bean seedling damage by root-feeding grubs (Schizonycha spp.) in Kenya as influenced by planting time, variety, and crop residue management","APPLIED SOIL ECOLOGY","10.1016/j.apsoil.2006.01.008",NA,"Use of legume cover crops to improve soil productivity has had unexpected effects on cropping system components in a maize (Zea mays L.) and bean (Phaseolus vulgaris L.) cropping system in Trans Nzoia district, Kenya. Smallholder farmers who recently adopted relay cropping of lablab (Lablab purpureus L.) observed a decline in bean yields where lablab residues had been incorporated prior to maize and bean planting. We investigated chafer grub (Schizonycha spp.) damage to beans and studied the impact of lablab and maize stover residue management strategy, planting time, and bean cultivar selection on seedling damage. Seedling assays (germination to flower initiation), involving four different bean varieties (GLP2, KK15, KK22, and KTL3), were carried out in three consecutive planting periods. The assays were superimposed on a long-term, factorial experiment where soils had been subjected to differential lablab and maize stover residue management strategies for 7 years. Factors were (1) lablab residues removed (L0) or retained (L1); (2) maize stover removed (S0) or retained (S1) and (3) residues left on the soil surface (I0) or incorporated (I1). Planting time significantly affected the degree of chafer grub damage, with later planted beans sustaining substantially more damage. Of the four bean varieties, KK15 and GLP2 were more grub tolerant than KK22 and KTL3. Grub damage was most severe in plots where lablab residues had been retained and maize stovers had been removed (L1S0). This factor combination had the highest seedling mortality, the poorest stand establishment, and the largest proportion of plants with severed roots systems. The results of this study show that the current farmer practice (lablab residue retention and maize stover removal) is conducive to increased grub-induced bean seedling damage and suggest that early planting, retention of maize stover, and selection of grub-tolerant varieties are important management strategies to reduce damage and subsequent productivity decline. (c) 2006 Elsevier B.V. All rights reserved.","2006","APPLIED SOIL ECOLOGY","Kenya","Yes","Yes","Yes","Yes","Yes","legume cover crops, crop residue management, rotation, locally adapted heirloom varieties","Rejected-Full Text Screening","No","Excluded - Issues: is_LAC_CAC"
"40",2021,"Mohammadi, Khatere; Fathi, Seyed Ali Asghar; Razmjou, Jabraeil; Naseri, Bahram","Evaluation of the effect of strip intercropping green bean/garlic on the control of Tetranychus urticae in the field","AGRICULTURAL AND FOREST METEOROLOGY","10.1007/s10493-020-00583-2",NA,"In this study, the effect of strip intercropping green bean (GB), Phaseolus vulgaris L., with garlic (G), Allium sativum L., in three row ratios (3GB:5G, 3GB:8G and 3GB:11G) was assessed on two-spotted spider mite (TSSM), Tetranychus urticae Koch, compared with green bean sole crop over two growing seasons, in 2017 and 2018. The results indicated that intercrops reduced the densities of T. urticae eggs and mobile forms on the vegetative growth, the flowering, and the bean expansion stages of green bean plants compared with sole crop. In this study, seven predators of T. urticae including Stethorus gilvifrons (Mulsant), Orius niger (Wolff), Neoseiulus zwoelferi (Dosse), Chrysoperla carnea (Stephens), Geocoris punctipes (Say), Scolothrips sexmaculatus Pergande, and Nabis pseudoferus (Remane) were collected on TSSM-infested green bean plants during the two growing seasons. Among them, S. gilvifrons and O. niger were the main predators of TSSM on green bean plants in the two growing seasons. Furthermore, the densities of O. niger were significantly higher in intercrops on the vegetative growth and the flowering stages of green bean compared with sole crop, whereas no significant difference was observed in the densities of S. gilvifrons between intercrops and sole crop in 2017 and 2018. Moreover, the values of the Shannon diversity index (H `) and Pielou's evenness index (J `) for the composition of TSSM predators were greater in the three intercrops compared with sole crop for the entire growing seasons 2017/2018. On the other hand, the land equivalent ratio (LER), which is used to assess the yield benefit in intercrops, was greater than one in intercrops, especially in the 3GB:5G ratio (1.29 in 2017 and 1.40 in 2018). These results indicated that strip intercropping green bean with garlic could be effective in the control of T. urticae in green bean fields.","2021","EXPERIMENTAL AND APPLIED ACAROLOGY","NA","Yes","Yes","Yes","Yes","No","intercropping","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
"41",2019,"Meng, Chaobiao; Wang, Fengxin; Engel, Bernard A.; Yang, Kaijing; Zhang, Youliang","Is Cattle Manure Application with Plastic-Film Mulch a Good Choice for Potato Production?","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.3390/agronomy9090534",NA,"Using manure in potato production has been considered for its potential environmentally friendly effects. Two years of field experiments were conducted to evaluate the effects of different kinds of fertilizer and soil surface treatments on potato growth. Experimental treatments consisted of three soil surface treatments, including black plastic-film mulch (BM), transparent film-plastic mulch (TM), and non-mulched (NM) treatment, and two fertilizer treatments, including inorganic fertilizer (IF), and cattle manure (CM). The results showed that low environmental temperatures at early growth stages harmed potato growth. The more suitable hydrothermal environment under BM treatment induced 9-67%, 1-223%, 15-30%, -1-11% and 18-34% greater plant height, leaf area index (LAI), tuber yield, crop evapotranspiration (ETc) and water use efficiency (WUE), respectively, than NM and TM treatments. Plastic-film mulch increased soil carbon dioxide concentration, especially for the TM treatment. With low soil nitrogen content during the whole growth stage, and high soil carbon dioxide concentration during sprout and seedling stages, the CM treatment reduced plant height, LAI, tuber yields, ETc and WUE by 27-155%, 2-96%, 6-23%, 2-6% and 8-25%, respectively. These results suggest that inorganic fertilizer with black plastic-film mulch is still the best choice for potato production, and further studies are needed to identify the best level of cattle manure used under black plastic-film mulch.","2019","AGRONOMY-BASEL","China, primarily in reference to the effects of mulching in arid and semi-arid areas like the Loess Plateau and Heihe River Basin.","Yes","Yes","Yes","Yes","No",NA,"Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
"42",2017,"Tong, Yuxin; Liu, Jianguo; Li, Xiaolin; Sun, Jing; Herzberger, Anna; Wei, Dan; Zhang, Weifeng; Dou, Zhengxia; Zhang, Fusuo","Cropping System Conversion led to Organic Carbon Change in China's Mollisols Regions",NA,"10.1038/s41598-017-18270-5",NA,"Land use change driven by diet, globalization, and technology advancement have greatly influenced agricultural production and environment in the mollisols region of China, with a marked impact on the depletion of soil organic matter, a signature property of mollisols. Here we report findings on soil organic carbon (SOC) change in three different cropping systems (soybean, soybean/maize, corn) in Northeast China during a 10-year time span. The results indicated that the decline rate of SOC in recent ten years (0.27 g kg(-1) yr(-1)) has slowed down considerably compared to previous decades (1.12 g kg(-1) yr(-1)). Crop system conversion from soybean monocropping to corn monocropping or break system was the critical factor for SOC change, and the background SOC was the second influence factor. When approaching a SOC turning point, conversion from low carbon input crop system (soybeans monocropping) to high carbon input crop system helped slow down the SOC decline (break crop) or even improve SOC (corn monocropping) in mollisols regions. This result implied that imported soybean has brought benefit for Northeast China. But for sustainable goal in China's mollisols region, straw returning, optimized nitrogen fertilization and no tillage are all necessary whatever in continues maize or rotation system.","2017","SCIENTIFIC REPORTS","China","Yes","Yes","Yes","Yes","Yes","no tillage, crop residue management","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
